@T,table
Created,2016-11-11 14:24
Author,HortonMachine library
@H,timestamp,value_209
ID,,209
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,1994-01-01 00:00,0.0
,1994-01-01 01:00,0.0
,1994-01-01 02:00,0.0
,1994-01-01 03:00,0.0
,1994-01-01 04:00,0.0
,1994-01-01 05:00,0.0
,1994-01-01 06:00,0.0
,1994-01-01 07:00,0.0
,1994-01-01 08:00,0.03832759306247317
,1994-01-01 09:00,0.08348819349329595
,1994-01-01 10:00,0.11481608951779786
,1994-01-01 11:00,0.13231201728597022
,1994-01-01 12:00,0.14589370372298402
,1994-01-01 13:00,0.13329881501889596
,1994-01-01 14:00,0.10009607460248313
,1994-01-01 15:00,0.04781334331099694
,1994-01-01 16:00,0.0
,1994-01-01 17:00,0.0
,1994-01-01 18:00,0.0
,1994-01-01 19:00,0.0
,1994-01-01 20:00,0.0
,1994-01-01 21:00,0.0
,1994-01-01 22:00,0.0
,1994-01-01 23:00,0.0
,1994-01-02 00:00,0.0

